Codigo	Descripción de productos
NP001	Frijol
NP002	Maíz
NP003	Trigo
NP004	Otros cereales
NP005	Legumbres y otras semillas oleaginosas
NP006	Arroz
NP007	Sandía
NP008	Melón
NP009	Cebolla
NP010	Chayote
NP011	Papa
NP012	Raíces y tubérculos n.c.p.
NP013	Hortalizas n.c.p.
NP014	Caña de azúcar
NP015	Flores
NP016	Follajes
NP017	Banano
NP018	Plátano
NP019	Piña
NP020	Palma aceitera
NP021	Café en fruta
NP022	Mango
NP023	Naranja
NP024	Palmito
NP025	Otros productos de plantas no perennes y perennes n.c.p.
NP026	"Otras frutas, nueces y otros frutos oleaginosos"
NP027	Plantas y raíces vivas
NP028	Ganado bovino
NP029	Ganado porcino
NP030	Pollo en pie
NP031	Otros animales vivos
NP032	Huevos
NP033	Leche cruda
NP034	Otros productos animales n.c.p.
NP035	"Servicios de apoyo a la agricultura, la ganadería y actividades postcosecha"
NP036	"Productos de la silvicultura, de la extracción de la madera y de la caza"
NP037	Productos de la pesca
NP038	Productos de la acuicultura
NP039	"Piedra, arena y arcilla"
NP040	Sal
NP041	Petróleo y gas natural
NP042	"Otros minerales metálicos, no metálicos y servicios de apoyo "
NP043	Carne y despojos comestibles de aves
NP044	Carne y despojos comestibles de ganado vacuno
NP045	Carne y despojos comestibles de ganado porcino
NP046	Embutidos y otros productos cárnicos
NP047	"Pescados, crustáceos y moluscos conservados"
NP048	"Frutas, legumbres y hortalizas en conserva"
NP049	Aceites vegetales crudos y refinados
NP050	Otros aceites y grasas de origen vegetal y animal n.c.p.
NP051	Productos lácteos
NP052	"Arroz descascarillado, elaborado y semielaborado "
NP053	Harina de Trigo
NP054	"Otros productos de molinería n.c.p., almidones y sus derivados"
NP055	Productos de panadería
NP056	"Azúcar de caña, melazas, jarabes y otros azúcares"
NP057	"Cacao, chocolates y productos de confitería"
NP058	"Macarrones, fideos y productos farináceos análogos"
NP059	Café oro
NP060	"Café molido, soluble, extractos y concentrados"
NP061	"Comidas, platos preparados y otros productos alimenticios"
NP062	Alimentos preparados para animales
NP063	Bebidas alcohólicas destiladas y vinos
NP064	"Cerveza, malta, bebidas no alcohólicas y agua embotellada"
NP065	Productos de tabaco
NP066	"Artículos textiles, excepto prendas de vestir"
NP067	Prendas de vestir
NP068	"Cuero y productos conexos, excepto calzado"
NP069	Calzado
NP070	"Madera y corcho, productos de madera y corcho, excepto muebles; artículos de paja y materiales trenzables"
NP071	Papel y productos de papel
NP072	"Productos de la edición, impresión y grabaciones excepto de programas informáticos"
NP073	Gasolina
NP074	Diesel
NP075	Bunker
NP076	Aceites y grasas lubricantes
NP077	Otros productos derivados del petróleo y de coque
NP078	Sustancias químicas básicas y abonos y compuestos de nitrógeno
NP079	Plásticos y caucho sintético en formas primarias
NP080	Pesticidas y otros productos químicos de uso agropecuario
NP081	"Pinturas, barnices, revestimientos, tintas de imprenta y masillas"
NP082	"Jabones, detergentes, perfumes y preparados de tocador"
NP083	Fibras artificiales y productos químicos n.c.p
NP084	Productos farmacéuticos y medicinales
NP085	Productos de caucho
NP086	"Perfiles, tubería y conexiones de plástico rígido sin soporte"
NP087	Otros productos de plástico
NP088	Vidrio y productos de vidrio
NP089	"Productos refractarios, materiales de construcción de arcilla y otros productos de porcelana y cerámica"
NP090	"Cemento, cal y yeso"
NP091	"Artículos de hormigón, cemento y yeso y otros productos minerales no metálicos n.c.p. "
NP092	Productos Básicos de Hierro y Acero 
NP093	"Productos primarios de aluminio, zinc, oro, plata y otros semiacabados por un proceso de fundición"
NP094	"Productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor"
NP095	Otros productos de metal
NP096	"Componentes y tableros electrónicos, computadoras y equipo periférico"
NP097	Equipos de comunicaciones y aparatos electrónicos de consumo
NP098	"Equipo de medición, prueba, navegación y control y de relojes"
